category,view,like,dislike,month,year
Nonprofit &amp; Aktivisme,3185938,128359,1748,10,2015
Game,4137239,157245,2854,10,2015
Game,23210495,459896,14046,10,2015
Game,3535644,188375,1245,10,2015
Game,3588116,98945,1389,10,2015
Game,4454453,175868,19522,10,2015
Game,4436578,136288,2484,10,2015
Game,4562334,175837,1958,10,2015
Game,2574638,115025,1328,10,2015
Game,2635515,107497,1663,10,2015
Game,2748650,133585,1376,10,2015
Game,3325501,175538,1826,10,2015
Game,5058636,204146,2887,10,2015
Blog &amp; Orang,3834973,153037,1538,10,2015
Game,5315220,164788,5388,10,2015
Game,2643743,110762,1337,10,2015
Game,4735361,157459,2409,10,2015
Game,4060588,161122,4234,10,2015
Game,3059185,96857,1816,10,2015
Game,8543712,213372,5296,10,2015
Game,8610467,204464,3969,10,2015
Game,2389596,101857,1776,10,2015
Game,5758782,208127,1805,10,2015
Game,2841032,134279,977,10,2015
Pendidikan,2759600,234011,1833,10,2015
Game,6784237,236261,2647,10,2015
Game,3975678,130357,2567,10,2015
Game,3331375,143360,3100,10,2015
Game,3078006,123370,2046,10,2015
Game,3271813,122133,2919,10,2015
Game,5499164,197523,2290,10,2015
Game,11428878,286224,9638,11,2015
Game,2451943,108377,2040,11,2015
Game,4469785,212651,4234,11,2015
Game,5254019,209414,4066,11,2015
Game,2687049,125860,2658,11,2015
Game,5564580,192499,1877,11,2015
Game,2871667,115385,1972,11,2015
Game,5191308,194333,6415,11,2015
Game,2844154,109669,2885,11,2015
Game,3334708,110301,3724,11,2015
Game,3638878,207572,2139,11,2015
Game,3111832,148966,1623,11,2015
Game,3259871,146085,1897,11,2015
Game,4901833,251748,1670,11,2015
Game,4567875,172067,23417,11,2015
Game,2908537,117371,1950,11,2015
Game,4719753,149664,1835,11,2015
Game,2959682,109591,1353,11,2015
Game,5402387,208266,1845,11,2015
Game,2211813,109250,1466,11,2015
Game,9639980,295920,4501,11,2015
Game,3759854,151371,4154,11,2015
Game,3323981,155089,1583,11,2015
Game,3214312,140578,2059,11,2015
Game,2508206,136411,2285,11,2015
Game,5095396,196997,2334,11,2015
Game,3031108,141002,1520,11,2015
Game,2334236,102576,1473,11,2015
Game,2817474,96580,1018,11,2015
Game,15173360,391483,5218,11,2015
Game,2612851,106404,1580,11,2015
Game,4776632,194859,2517,11,2015
Game,3525707,169249,1925,11,2015
Game,3809457,132262,9972,11,2015
Game,2992328,96682,2735,11,2015
Game,2158283,112661,3216,11,2015
Game,7412702,324862,2926,11,2015
Game,2899163,122432,1508,12,2015
Game,6486708,221267,2553,12,2015
Game,4811787,216786,2053,12,2015
Game,3543153,150714,2399,12,2015
Game,3489508,95038,1763,12,2015
Game,7058930,279692,5412,12,2015
Game,3245567,131842,2465,12,2015
Game,3923028,144683,1860,12,2015
Game,5500036,184251,1926,12,2015
Game,2363058,81988,1879,12,2015
Game,5230297,131295,3392,12,2015
Game,2379604,77493,2545,12,2015
Game,3219757,122978,2556,12,2015
Game,3943574,169368,1115,12,2015
Game,2719865,125128,2162,12,2015
Game,2587386,113290,3086,12,2015
Game,12630284,430324,5201,12,2015
Game,7485868,170728,3050,12,2015
Game,6041788,212330,4892,12,2015
Game,3721084,167786,2303,12,2015
Game,3369262,140251,2392,12,2015
Game,7952237,253553,5971,12,2015
Game,5057396,202673,2729,12,2015
Game,3151062,175852,2073,12,2015
Game,4670886,204562,1897,12,2015
Game,2404095,137452,1401,12,2015
Game,2395413,101446,2277,12,2015
Game,2043812,122237,2943,12,2015
Game,5154162,236819,3469,12,2015
Game,7952184,279076,2807,12,2015
Game,5744697,216432,2248,12,2015
Game,8158573,252943,6757,12,2015
Game,7706009,416788,18143,12,2015
Game,4949543,255886,4503,1,2016
Game,2697423,111696,1914,1,2016
Game,799243,25928,165,1,2016
Game,2608240,123027,3013,1,2016
Game,3130828,216960,1954,1,2016
Game,2558817,120619,4667,1,2016
Game,5726650,159366,7814,1,2016
Game,4134487,204168,1928,1,2016
Game,2332106,100523,7546,1,2016
Game,5141373,194531,3075,1,2016
Game,667370,26906,202,1,2016
Game,5002288,179464,2208,1,2016
Game,2910358,169445,3305,1,2016
Game,7129770,360235,4804,1,2016
Game,4761534,273168,2691,1,2016
Game,4142357,138974,3650,1,2016
Game,2362577,69156,1274,1,2016
Game,10109732,367928,11385,1,2016
Game,3344436,227722,1782,1,2016
Game,1979187,47847,812,1,2016
Game,10391574,389332,18082,1,2016
Game,6098370,241291,4557,1,2016
Game,5586314,266863,3793,1,2016
Game,7603093,243042,7026,1,2016
Game,3543631,146462,2159,1,2016
Game,3174291,161921,2695,1,2016
Game,3848838,210112,1646,1,2016
Game,2051618,47574,821,1,2016
Game,3033272,76528,1236,1,2016
Game,2675891,178456,2542,1,2016
Game,6148521,160836,3351,1,2016
Game,7355421,174836,5428,1,2016
Game,5975485,255161,2554,1,2016
Game,1858295,36924,1011,1,2016
Game,3442122,181152,1840,1,2016
Game,9391119,431584,8105,1,2016
Game,4228382,208799,2695,1,2016
Game,2683913,66080,1073,1,2016
Game,2646302,149577,3812,1,2016
Game,5353195,157880,2321,2,2016
Game,5677437,188343,2746,2,2016
Game,4236466,23150,432,2,2016
Game,1527449,54606,779,2,2016
Blog &amp; Orang,5834373,277603,5852,2,2016
Game,16306464,269306,27712,2,2016
Game,1452528,44947,504,2,2016
Game,4688015,179348,17000,2,2016
Game,0,0,0,2,2016
Game,2618655,92042,3476,2,2016
Blog &amp; Orang,3841047,149061,1772,2,2016
Hiburan,10758358,30317,3923,2,2016
Game,4682392,180921,2623,2,2016
Game,1754321,52608,439,2,2016
Game,14147326,666693,12440,2,2016
Blog &amp; Orang,3767812,170204,2629,2,2016
Game,9478905,277994,4819,2,2016
Game,51130443,1008181,55354,2,2016
Game,4135637,176245,3676,2,2016
Game,14060351,0,0,2,2016
Game,3090780,150079,1253,2,2016
Game,4532888,226454,3052,2,2016
Blog &amp; Orang,3733565,196319,8460,2,2016
Hiburan,6285831,17727,1944,2,2016
Game,4997877,229715,13833,2,2016
Hiburan,3758909,14959,1361,2,2016
Blog &amp; Orang,3719198,188901,2432,2,2016
Blog &amp; Orang,2145805,79962,5166,2,2016
Game,3789925,180056,2437,2,2016
Blog &amp; Orang,4475997,248804,3443,2,2016
Game,6544933,0,0,2,2016
Blog &amp; Orang,4862333,227241,4669,2,2016
Blog &amp; Orang,4426748,192235,2423,2,2016
Game,4047611,136838,1624,2,2016
Game,9315512,305257,4836,2,2016
Blog &amp; Orang,2776366,163848,1932,2,2016
Game,3238676,142301,3143,2,2016
Game,2733628,122458,2330,2,2016
Blog &amp; Orang,410721,19311,276,3,2016
Blog &amp; Orang,3280465,135422,5755,3,2016
Game,3112375,104967,3022,3,2016
Blog &amp; Orang,4655121,214474,4159,3,2016
Blog &amp; Orang,4702563,160896,3561,3,2016
Game,3028821,11880,824,3,2016
Blog &amp; Orang,1671590,55132,1406,3,2016
Blog &amp; Orang,11909266,421811,7108,3,2016
Blog &amp; Orang,11843868,397569,4691,3,2016
Blog &amp; Orang,480288,19795,333,3,2016
Game,51130334,0,0,3,2016
Blog &amp; Orang,412661,16699,335,3,2016
Blog &amp; Orang,7162528,311728,4704,3,2016
Game,1499531,50869,873,3,2016
Blog &amp; Orang,3563659,135488,4752,3,2016
Blog &amp; Orang,3637526,157543,1795,3,2016
Blog &amp; Orang,558680,24114,322,3,2016
Game,1256186,33287,386,3,2016
Game,2772244,10687,1112,3,2016
Game,3025990,6938,540,3,2016
Blog &amp; Orang,4679149,159205,2512,3,2016
Game,2233050,129980,1380,3,2016
Game,2235435,83241,1047,3,2016
Game,1666245,56201,504,3,2016
Game,51130334,0,0,3,2016
Blog &amp; Orang,5542863,355293,5492,3,2016
Blog &amp; Orang,2671002,114933,1772,3,2016
Game,51130334,0,0,3,2016
Blog &amp; Orang,4117907,195738,2217,3,2016
Blog &amp; Orang,11868892,238756,7776,3,2016
