category,view,like,dislike,month,year,,,
Game,2842973,56743,747,1,2013,,,
Game,799243,25928,165,1,2016,,,
Game,6482410,79191,1695,1,2012,,,
Hiburan,5489345,79455,771,10,2011,,,
Game,7330735,240933,6239,3,2017,,,
Game,875605,24488,219,7,2012,,,
Komedi,6170156,373038,7835,6,2017,,,
Game,4334845,219617,2232,9,2015,,,
Game,3426842,39006,839,4,2012,,,
Game,350148,6311,78,9,2011,,,
Game,1283967,24746,182,11,2011,,,
Blog &amp; Orang,770762,22363,178,9,2011,,,
Game,887007,12756,116,12,2010,,,
Game,7430100,406715,15508,1,2017,,,
Hiburan,4860650,80257,1185,6,2012,,,
Game,6587262,244243,5171,9,2016,,,
Game,513055,12400,156,5,2012,,,
Game,2182644,80273,1069,10,2015,,,
Komedi,3238029,178929,3987,6,2017,,,
Game,7745750,293576,3760,9,2014,,,
Game,644565,10872,103,1,2012,,,
Game,9745789,275559,2499,12,2014,,,
Game,2933276,96339,1324,5,2016,,,
Komedi,5003814,214842,3805,10,2017,,,
Game,390282,6562,63,1,2011,,,
Komedi,4076623,195199,5108,6,2017,,,
Game,4791483,131145,1901,9,2015,,,
Game,1759659,30492,225,11,2011,,,
Game,2454602,108450,1043,6,2013,,,
Game,3017345,129986,1115,9,2014,,,
Game,2608240,123027,3013,1,2016,,,
Game,5189290,155447,2223,4,2013,,,
Game,3832176,110027,3728,9,2013,,,
Game,552750,10836,117,1,2012,,,
Game,629283,17653,171,2,2012,,,
Game,3863352,73315,691,6,2012,,,
Game,2155708,135112,2403,11,2016,,,
Game,658085,16873,374,8,2012,,,
Game,7001043,170681,1937,5,2014,,,
Game,714742,14924,191,4,2012,,,
Game,501525,9768,96,11,2011,,,
Berita &amp; Politik,11168692,607454,25681,2,2018,,,
Game,4609047,122210,1191,1,2014,,,
Game,1345996,39628,398,8,2012,,,
Game,6357559,210767,2486,9,2014,,,
Komedi,2435013,83486,1445,10,2017,,,
Game,1751538,35385,477,8,2012,,,
Hiburan,39719464,794503,17987,11,2013,,,
Game,12809659,481103,9377,8,2015,,,
Game,2542051,71245,1191,10,2013,,,
Game,2768413,131766,1117,9,2015,,,
Blog &amp; Orang,4655121,214474,4159,3,2016,,,
Game,5226922,155289,1635,9,2013,,,
Game,475824,11873,181,7,2012,,,
Game,7728836,363597,5755,6,2016,,,
Game,810507,19656,189,6,2012,,,
Game,2871667,115385,1972,11,2015,,,
Game,1651378,48975,783,1,2013,,,
Game,6179275,239000,2296,11,2014,,,
Game,2751068,99658,2575,7,2015,,,
Game,2782636,44999,826,1,2013,,,
Komedi,1107014,47138,500,8,2012,,,
Game,8015076,315800,2653,1,2015,,,
Game,1603295,48652,607,9,2012,,,
Blog &amp; Orang,4196545,226525,1369,8,2014,,,
Game,3637294,51768,638,11,2011,,,
Game,5280728,145327,1788,6,2013,,,
Game,92951,4040,53,2,2011,,,
Blog &amp; Orang,5834373,277603,5852,2,2016,,,
Game,6598895,146911,1955,10,2013,,,
Game,855089,18859,128,11,2011,,,
Game,336742,13527,55,12,2011,,,
Game,4825988,59129,1505,7,2012,,,
Game,3082677,133460,2178,8,2013,,,
Game,13921214,196124,3604,4,2013,,,
Game,3467045,142125,1815,4,2015,,,
Game,4099466,76630,1531,9,2012,,,
Game,4439713,346398,2772,11,2014,,,
Game,3209222,51330,788,12,2012,,,
Game,175491,1477,45,9,2011,,,
Game,5191308,194333,6415,11,2015,,,
Komedi,5612771,323467,5013,7,2017,,,
Game,1152121,22844,192,1,2012,,,
Komedi,5873332,134924,1405,10,2012,,,
Blog &amp; Orang,4702563,160896,3561,3,2016,,,
Game,9969367,210860,2928,3,2014,,,
Game,2281269,139692,2181,11,2016,,,
Hiburan,1446425,34126,559,6,2012,,,
Game,4185524,64242,1199,1,2013,,,
Game,15823108,481243,14092,1,2017,,,
Game,5624091,149173,1962,7,2013,,,
Hiburan,8849042,233391,2523,3,2013,,,
Komedi,9596133,265796,2372,4,2015,,,
Nonprofit &amp; Aktivisme,293402,8553,76,2,2012,,,
Hiburan,6198861,185288,1724,7,2012,,,
Game,1925446,62869,1172,6,2016,,,
Game,6012311,181290,1815,6,2014,,,
Hiburan,7125620,341869,3032,10,2013,,,
Game,7436469,242487,1939,8,2013,,,
Game,1495011,64901,559,9,2012,,,
Game,1770982,88048,1066,8,2013,,,
Game,61593,1776,52,2,2011,,,
Game,5604707,154057,2216,12,2013,,,
Game,1805414,34925,537,6,2012,,,
Game,5610653,171043,1705,6,2014,,,
Game,3028821,11880,824,3,2016,,,
Game,7431740,301236,3611,5,2016,,,
Game,2797670,82097,1451,10,2013,,,
Game,6219012,110682,2095,4,2013,,,
Game,16306464,269306,27712,2,2016,,,
Game,6147136,429032,9353,8,2016,,,
Game,2846887,104533,2051,4,2016,,,
Game,4964668,141679,3143,9,2015,,,
Game,3130828,216960,1954,1,2016,,,
