,channel_id,channel_name,country,genre_channel,join_date,subscriber,total_video,,,0,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,United States,Gaming,4/29/2010,61006277,3424,
55,UCFkoPRmuxqr37jvGmmpzhzQ,MalumaVEVO,-,Music,6/15/2011,13836066,75,,,,,,,,,,,
56,UCrHL_BF5lHyK43BxLU8-vBQ,jbalvinVEVO,-,Music,9/30/2010,13745760,110,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
60,UCRv76wLBC73jiP7LX4C3l8Q,ÐÐ°ÑÐ° Ð¸ ÐÐµÐ´Ð²ÐµÐ´Ñ,-,Film and Animation,5/31/2011,13499938,529,,,,,,,,,,,
61,UCVttQE6tS_agDSAU61Q65aA,EnriqueIglesiasVEVO,-,Music,5/12/2009,13486651,118,,,,,,,,,,,
62,UCJ0uqCI0Vqr2Rrt1HseGirg,The Late Late Show with James Corden,-,Entertainment,11/21/2006,13472517,2468,,,,,,,,,,,
63,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,India,Music,3/12/2014,13426613,2925,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
66,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,"Korea, Republic of",Music,3/18/2006,13340362,2925,,,,,,,,,,,
67,UCGRtuAmEObNSmlOLDWzZfVg,CaELiKe,MÃ©xico,Entertainment,9/22/2010,13298773,532,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
69,UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning,United States,Entertainment,9/17/2008,13067088,1829,,,,,,,,,,,
70,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Great-Britain,Entertainment,7/30/2007,12954379,370,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
72,UCB0d0JLn1WcGYcwwZ87d2LA,Rclbeauty101,Sint-Maarten,Entertainment,12/14/2010,12862776,369,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
75,UCaHNFIob5Ixv74f5on3lvIw,CalvinHarrisVEVO,Sint-Maarten,Music,10/15/2009,12705728,90,,,,,,,,,,,
76,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,-,Entertainment,3/9/2006,12618148,1057,,,,,,,,,,,
77,UCcMTZY1rFXO3Rj44D5VMyiw,Machinima,United States,Entertainment,1/17/2006,12573426,26509,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
79,UCKqx9r4mrFglauNBJc1L_eg,[í ì´í¸ë©] ToyPudding TV,Sint-Maarten,Entertainment,5/13/2014,12457918,1922,,,,,,,,,,,
80,UC3ZkCd7XtUREnjjt3cyY_gg,WorkpointOfficial,Thailand,Entertainment,11/5/2012,12448073,17548,,,,,,,,,,,
81,UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan ToysReview,United States,Entertainment,3/17/2015,12344493,947,,,,,,,,,,,
82,UCm1dsgJNnhaLkY3uAdqN4mA,ChrisBrownVEVO,Sint-Maarten,Music,10/15/2009,12271144,184,,,,,,,,,,,
83,UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna,-,Music,3/24/2016,12243270,28,,,,,,,,,,,
84,UCJrOtniJ0-NWz37R30urifQ,Alan Walker,Norway,Music,8/25/2012,12205258,125,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
86,UCRzzwLpLiUNIs6YOPe33eMg,ChainsmokersVEVO,Sint-Maarten,Music,10/22/2012,12138615,96,,,,,,,,,,,
87,UCWRV5AVOlKJR1Flvgt310Cw,Zoella,Great-Britain,Howto & Style,2/2/2007,12090361,368,,,,,,,,,,,
88,UCnyB9MYKRkSFK3IIB32CoVw,DemiLovatoVEVO,-,Music,5/12/2009,12056389,162,,,,,,,,,,,
89,UCjtLOfx1yt1NlnFIDyAX3Ug,W2S,Great-Britain,Entertainment,7/26/2012,11969533,631,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
91,UCKlhpmbHGxBE6uw9B_uLeqQ,Adam,Sint-Maarten,Entertainment,2/28/2011,11805448,1896,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
93,UCi8e0iOVk1fEOogdfu4YgfA,Movieclips Trailers,United States,Film and Animation,4/1/2011,11749866,7232,,,,,,,,,,,
94,UCNUQK9mQoqi4yNXw2_Rj6SA,GR6 EXPLODE,Brazil,Music,8/5/2014,11658835,2041,,,,,,,,,,,
95,UC1SqP7_RfOC9Jf9L_GRHANg,AviciiOfficialVEVO,-,Music,11/29/2011,11518254,110,,,,,,,,,,,
96,UC4-TgOSMJHn-LtY4zCzbQhw,ShawnMendesVEVO,-,Music,6/10/2014,11487347,90,,,,,,,,,,,
97,UCK1i2UviaXLUNrZlAFpw_jA,El Reino Infantil,Argentina,Music,6/2/2011,11454708,454,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
99,UCpb_iJuhFe8V6rQdbNqfAlQ,NickyJamTV,Puerto Rico,Music,1/10/2012,11237731,207,,,,,,,,,,,
100,UCG9gfnA5UDoLvz-tC9B-HKw,GMM GRAMMY OFFICIAL,Thailand,Music,11/8/2010,11188099,5622,,,,,,,,,,,
101,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,United States,Music,11/28/2006,11176475,490,,,,,,,,,,,
102,UC3RpTX6fEMJ6KBNTTgXJB9w,5incominutos,Brazil,Entertainment,7/25/2010,11075118,303,,,,,,,,,,,
103,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,United States,Entertainment,9/20/2006,10998429,3563,,,,,,,,,,,
104,UCppHT7SZKKvar4Oc9J4oljQ,zeetv,India,Entertainment,12/11/2005,10980859,72728,,,,,,,,,,,
105,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,India,Music,9/2/2009,10960370,2144,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
107,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,-,Nonprofits & Activism,6/23/2009,10949459,107736,,,,,,,,,,,
108,UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,-,Music,1/3/2010,10921298,202,,,,,,,,,,,
109,UCgc00bfF_PvO_2AvqJZHXFg,Boyce Avenue,-,Music,9/2/2007,10783318,329,,,,,,,,,,,
110,UCH2VZQBLFTOp6I_qgnBJCuQ,Canal Nostalgia,Brazil,Entertainment,9/20/2008,10667536,300,,,,,,,,,,,
111,UCc6W7efUSkd9YYoxOnctlFg,Bethany Mota,Sint-Maarten,Howto & Style,6/8/2009,10552488,470,,,,,,,,,,,
112,UCD9PZYV5heAevh9vrsYmt1g,Wengie,Australia,Howto & Style,9/9/2010,10533126,175,,,,,,,,,,,
113,UCsPF3cApzCohxPp5oKdoWSQ,CVS 3D Rhymes,India,Education,8/26/2008,10505026,308,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
115,UCdxi8d8qRsRyUi2ERYjYb-w,TheRichest,United States,Education,1/20/2014,10444850,2174,,,,,,,,,,,
116,UCe_vXdMrHHseZ_esYUskSBw,CrazyRussianHacker,United States,Science & Technology,5/18/2012,10443182,1126,,,,,,,,,,,
117,UCyC_4jvPzLiSkJkLIkA7B8g,Lindsey Stirling,-,Music,5/20/2007,10438492,104,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
119,UCmKdSrwf1e8coqAzUsrVHZw,SiaVEVO,-,Music,5/12/2009,10430069,86,,,,,,,,,,,
120,UC1r4VtVE__5K6c_L_3Vlxxg,fouseyTUBE,United States,Entertainment,3/21/2011,10367867,166,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
122,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,United States,Music,4/6/2015,10295824,101,,,,,,,,,,,
123,UCR4s1DE9J4DHzZYXMltSMAg,HowToBasic,Australia,Howto & Style,12/8/2011,10295559,474,,,,,,,,,,,
124,UC4rasfm9J-X4jNl9SvXp8xA,Ultra Music,-,Music,10/24/2006,10292146,3385,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
126,UC7TTtOQKMXTWWMtWQMIgVSA,Collins Key,Sint-Maarten,Entertainment,8/9/2011,10253922,198,,,,,,,,,,,
