,channel_id,channel_name,country,genre_channel,join_date,subscriber,total_video
644,UCkuPobJMx7DPUdwlVo1TFfA,Drawblogs,-,Entertainment,5/20/2014,4301566,200
645,UCJN4c_lZorb_0eyIP_tSS3A,GunsNRosesVEVO,-,Music,5/12/2009,4296076,29
646,UCHAbNxkU837UAkZ-OPtdUUw,toyorbabytv,Jordan,Music,11/1/2012,4294675,232
647,UCbO9bltbkYwa56nZFQx6XJg,Manny Mua,United States,Howto & Style,7/17/2014,4285293,296
648,UCPOw2O3_uZ1doro9iR4x6vw,mmoshaya,Saudi Arabia,People & Blogs,12/11/2010,4278413,618
649,UCtW7qWjpCZ8zps-Cf2NF26w,Gaane Sune Ansune,India,Music,8/24/2015,4278249,1836
650,UCfhmwml--SRANrIVWxEM-SQ,FaZe Banks,United States,Entertainment,9/17/2011,4276584,158
651,UC7rtE7hSTaC8xDf5v_7O1qQ,My Mate Nate,Thailand,Entertainment,12/8/2014,4269435,535
652,UCQR_jO1aqpsdfrZNHkoSjDQ,CasalDeNerd,Brazil,Entertainment,4/26/2012,4269006,2116
653,UC4f1zAG2BTkfOQV4_nFbpBQ,TheAtlanticCraft | Minecraft,United States,Gaming,6/25/2012,4265654,2705
654,UCpWaR3gNAQGsX48cIlQC0qw,Tibo InShape,France,Sports,8/15/2008,4257170,483
655,UCUHW94eEFW7hkUMVaZz4eDg,minutephysics,-,Science & Technology,6/20/2011,4252630,212
656,UCD2vBGB4mK7h3vaBchwvtvw,MamaMiaMakeup,United States,Howto & Style,9/22/2010,4249449,213
657,UCUMyZ3GFwAPkEuai3zR3rxg,AndreasChoice,United States,Howto & Style,3/7/2008,4247615,212
658,UCERUmrDh9hmqEXBsnYFNTIA,DashieGames,United States,Gaming,9/14/2011,4245178,2067
659,UCNrthyyJVjrJUpePrl6lW_g,Neagle,Brazil,Entertainment,5/26/2013,4231815,1174
660,UCHUE4ypXKp7ZkmdWbGJNgJg,AmazingPhil,Great-Britain,Howto & Style,2/7/2006,4228432,247
661,UC2iUwfYi_1FCGGqhOUNx-iA,Screen Rant,United States,Entertainment,8/18/2008,4222795,1253
662,UCdKuE7a2QZeHPhDntXVZ91w,Kuplinov âº Play,-,Gaming,12/23/2012,4219865,4187
663,UCjpH3c5GZ-MaVtLSSLozW5A,JuStYosS,-,Entertainment,3/30/2012,4211110,481
664,UCEWOoncsrmirqnFqxer9lmA,The Noite com Danilo Gentili,Brazil,Comedy,1/22/2014,4210465,4947
665,UCNnnwVSI5Ndo2I4Y-LPuuew,johnlegendVEVO,-,Music,9/2/2009,4204657,108
666,UCugD1HAP3INAiXo70S_sAFQ,Pabllo Vittar,Brazil,Music,9/26/2013,4201385,46
667,UCa6Hg8HmooiDNaCT0_1NbQQ,iBallisticSquid,Great-Britain,Gaming,3/10/2011,4194080,2008
668,UCTt2AnK--mnRmICnf-CCcrw,Le Rire Jaune,France,Comedy,8/1/2012,4178126,111
